arabic,english,tags
حَقّ,"right, law",noun Chapter_2
حُقوق,"rights, laws",noun Chapter_2
ذلِكَ,that,pronoun Common Chapter_2
رِياضَة,sport,noun Sports Chapter_2
رِياضات,sports,noun Sports Chapter_2
رياضِيّ,of sports,adj Sports Chapter_2
طِبّ,medicine,noun Medical Chapter_2
عِدَّةُ,"a number of, several",noun Common Chapter_2
عِلْم,"science, discipline",noun Subjects Chapter_2
عَلوم,"sciences, disciplines",noun Subjects Chapter_2
عِلميّ,"of science, scientific",adj Subjects Chapter_2
كُلّيَّة,college,noun Education Chapter_2
كُلّيات,colleges,noun Education Chapter_2
لُغَة,language,noun Subjects Chapter_2
لُغات,languages,noun Subjects Chapter_2
لُغَويّ,"of language, linguistic",adj Subjects Chapter_2
مُخْتبر,laboratory,noun Education Chapter_2
مُخْتبرات,laboratories,noun Education Chapter_2
مَسْبَح,swimming pool,noun Locations Chapter_2
مَسابِح,swimming pools,noun Locations Chapter_2
مَكْتَب,office,noun Locations Chapter_2
مَكاتِب,offices,noun Locations Chapter_2
مَكْتَبة,library; bookstore; bookcase,noun Locations Chapter_2
مَكْتَبات,libraries; bookstores; bookcases,noun Locations Chapter_2
مَلْعَب,"playground, sports field",noun Sports Chapter_2
مَلاعِب,"playgrounds, sports fields",noun Sports Chapter_2
هاتانِ,"these (dual, nom)",pronoun Chapter_2
هاتَيْنِ,"these (dual, acc/gen)",pronoun Chapter_2
هذانِ,"these (dual, nom)",pronoun Chapter_2
هذَيْنِ,"these (dual, acc/gen)",pronoun Chapter_2
هَنْدَسَة,engineering,noun Subjects Chapter_2
هؤُلاءِ,these (pl),pronoun Chapter_2
أَ,a question particle to form yes/no questions,particle Chapter_3
الله,God,noun Religious Chapter_3
ابْنُ خَلْدون,a 14th-century Arab historian and sociologist,noun People Chapter_3
اِثنان,two,noun Numbers Chapter_3
أرْبَعة,four,noun Numbers Chapter_3
آسِف، آسِفة,"sorry (m, f)",noun Common Chapter_3
أَمْ,or (particle used in questions),conj Chapter_3
اِمرأة,woman,noun People Chapter_3
نِساء,women,noun People Chapter_3
الآنَ,now,noun Common Chapter_3
اﻹنكليزية,English (language),adj Subjects Chapter_3
أو,or (used with statements),conj Common Chapter_3
بِطاقة,card,noun Chapter_3
بِطاقات,cards,noun Chapter_3
بَلْدة,small town,noun Places Chapter_3
بَلْدات,small towns,noun Places Chapter_3
تِسْعة,nine,noun Numbers Chapter_3
ثَلاثة,three,noun Numbers Chapter_3
ثَمانِية,eight,noun Numbers Chapter_3
جَبْلة,name of a town in Syria,noun Places Chapter_3
خَمْسة,five,noun Numbers Chapter_3
رَجُل,man,noun People Chapter_3
رِجال,men,noun People Chapter_3
رَقْم,number,noun Numbers Chapter_3
أرْقام,numbers,noun Numbers Chapter_3
زائِد,plus,noun Chapter_3
ساوى (يُساوي) مُساواة,to equal (MSA); to do (Levantine/Iraqi colloquial),verb Chapter_3
سَبْعة,seven,noun Numbers Chapter_3
سِتّة,six,noun Numbers Chapter_3
سَكَنَ (يَسْكُنُ) سَكَن,"to live, to reside",verb Chapter_3
سَكَنُ (الطُلاّبِ),"(student) living, residence, dormitory",noun Education Chapter_3
شارع,street,noun Directions Chapter_3
شَوارع,streets,noun Directions Chapter_3
شاءَ (يَشاءُ) مَشيئة,"to want, will",verb Chapter_3
شَقّة,apartment,noun Household Chapter_3
شُقَق,apartments,noun Household Chapter_3
شُكْراً,thank you,phrase Common Chapter_3
صِفْر,zero,noun Numbers Chapter_3
أصْفار,zero (pl),noun Numbers Chapter_3
العَرَبيّة,Arabic (language),adj Subjects Chapter_3
عَرَفَ (يَعرِفُ) مَعْرِفة,to know,verb Chapter_3
عَشَرة,ten,noun Numbers Chapter_3
عُنوان,address,noun Directions Chapter_3
عَناوين,addresses,noun Directions Chapter_3
الفَرَنْسِيَّة,French (language),adj Subjects Chapter_3
كَلِمَة,word,noun Common Chapter_3
كَلِمات,words,noun Common Chapter_3
كَمْ,how many/much,particle Common Chapter_3
ما,what (question particle used in front of nouns),particle Common Chapter_3 Chapter_21 Chapter_22
ماذا,what (used with verbs),particle Common Chapter_3
مُتَزَوِّج,married; married man,noun Family Chapter_3 Chapter_22
مُتَزَوِّجون,married (pl); married men,noun Family Chapter_3 Chapter_22
مَعْنى,meaning,noun Chapter_3
مَعانٍ/المعاني,meanings,noun Chapter_3
ناقِص,minus,noun Chapter_3 Chapter_12
هَلْ,question particle for yes/no questions,particle Common Chapter_3
هُوِيّة,identity,noun Chapter_3
هُوِيّات,identities,noun Chapter_3
واحِد,one,noun Numbers Chapter_3
يا,vocative particle used to call the attention of the addressee,particle Common Chapter_3
اليابانِيَّة,Japanese (language),noun Subjects Chapter_3
أحْياء,biology,noun Subjects Chapter_4
بَلْ,"rather, but",particle Chapter_4
بِناية,building,noun Locations Chapter_4
بِنايات,buildings,noun Locations Chapter_4
حَقيبة,bag; briefcase,noun Clothing Chapter_4
حَقائب,bags; briefcases,noun Clothing Chapter_4
خِزانة,"closet, cupboard",noun Household Chapter_4 Chapter_18
خَزائِن/خِزانات,"closets, cupboards",noun Household Chapter_4 Chapter_18
دَرَسَ (يَدرُسُ) دِراسة/دَرْس,to study,verb Chapter_4
سَرير,bed,noun Household Chapter_4
أسِرّة,beds,noun Household Chapter_4
صَغيرة,small; young,adj Common Chapter_4
مادّة,"school subject, course",noun Education Chapter_4
مَوادّ,"school subjects, courses",noun Education Chapter_4
وُسْطى,middle,adj Common Chapter_4 Chapter_5
أب,father,noun Family Chapter_5
آباء,fathers,noun Family Chapter_5
ابْتِدائيّ,elementary,adj Education Chapter_5
ابْنٌ,son,noun Family Chapter_5
أبْناء,sons,noun Family Chapter_5
ابْنَة,daughter,noun Family Chapter_5
بَنات,daughters; girls,noun Family Chapter_5 Chapter_5
أَخ,brother,noun Family Chapter_5
إخوة,brothers,noun Family Chapter_5
أُخْت,sister,noun Family Chapter_5
أَخَوات,sisters,noun Family Chapter_5
أُمّ,mother,noun Family Chapter_5
أُمَّهات,mothers,noun Family Chapter_5
إنْكليزيّ,English,noun Subjects Chapter_5
أوَّل,first,noun Numbers Chapter_5
أوائِل,first (pl),noun Numbers Chapter_5
بِنْت,girl,noun People Chapter_5
تاسِع,ninth,adj Numbers Chapter_5
تَفاضُل,differential equations,noun Subjects Chapter_5
ثانٍ (الثاني),second,noun Numbers Chapter_5
ثالِث,third,adj Numbers Chapter_5
ثامِن,eighth,adj Numbers Chapter_5
خامِس,fifth,adj Numbers Chapter_5
دِراسِيّ,"of school, academic",adj Education Chapter_5
رابع,fourth,adj Numbers Chapter_5
زَوْج,husband,noun Family Chapter_5
أزْواج,husbands,noun Family Chapter_5
زَوْجَة,wife,noun Family Chapter_5
زَوْجات,wives,noun Family Chapter_5
سابع,seventh,adj Numbers Chapter_5
سادِس,sixth,adj Numbers Chapter_5
صَغير,"small; young; small child, young child",adj Common Chapter_5 Chapter_10
طِفْل,child,noun People Chapter_5 Chapter_22
أطْفال,children,noun People Chapter_5 Chapter_22
عاشِر,tenth,adj Numbers Chapter_5
عائِلَة,"nuclear family, family that one supports",noun Family Chapter_5 Chapter_10
عوائِل/عائِلات,"nuclear families, family that one supports (pl)",noun Family Chapter_5 Chapter_10
فَصْل,"(academic) term, season",noun Education Chapter_5
فُصول,"(academic) terms, seasons",noun Education Chapter_5
فَقَطْ,only; no more than,particle Common Chapter_5
فيزياء,physics,noun Subjects Chapter_5
كَبير,"big, large; old (in age)",adj Common Chapter_5 Chapter_10
كيمياء,chemistry,noun Subjects Chapter_5
لَطيف,nice,adj Chapter_5
مَنْ,who,pronoun Common Chapter_5
وَحيد,"sole, only",noun Chapter_5
وَحيدون,"sole, only (pl)",noun Chapter_5
وَلَد,boy,noun People Chapter_5
أَوْلاد,boys,noun People Chapter_5
اِسْتَطاعَ (يَسْتَطِيعُ) اِسْتِطاعة,"to be able, can",verb Common Chapter_6 Chapter_19
آسِف/آسِفة,sorry,noun Common Chapter_6
أعلَم,most knowledgeable,noun Chapter_6
الله أعْلَم,God knows,phrase Common Chapter_6
أمينُ/أمينةُ مَكتَبةٍ,librarian,noun Occupations Chapter_6
بَرنامَج,program,noun Chapter_6 Chapter_13
بَرامِج,programs,noun Chapter_6 Chapter_13
تَكَلَّمَ (يَتَكَلَّمُ) تَكَلُّم,to speak,verb Common Chapter_6
جَزيلاً,abundant,adj Chapter_6
جَيِّد,good,adj Common Chapter_6
جَيِّداً,well,adv Common Chapter_6
حَيْثُ,"where, when",adv Common Chapter_6
صَيْدَلَة,pharmacology,noun Subjects Chapter_6
عَليم,knowledgeable,adj Chapter_6
عَقْد,group of ten,noun Numbers Chapter_6
عُقود,groups of ten,noun Numbers Chapter_6
قَليل,little,adj Common Chapter_6
قَليلاً,a little,adv Common Chapter_6
لـ,"to, for, by",prep Chapter_6
لا شُكْرَ على واجِب,don’t worry about it,phrase Common Chapter_6
مُدير,"boss; director, manager",noun Occupations Chapter_6 Chapter_15
مُدَراء,"bosses; directors, managers",noun Occupations Chapter_6 Chapter_15
مُساعَدة,"help, assistance",noun Chapter_6
مُوافَقَة,agreement,noun Chapter_6
مُوَظَّف,worker; employee,noun Occupations Chapter_6
مُوَظَّفون,workers; employees,noun Occupations Chapter_6
مِئة,hundred,noun Numbers Chapter_6
مِئات,hundreds,noun Numbers Chapter_6
يُمْكِنُكَ,you (m. sg.) are able,verb Chapter_6
أحَبَّ (يُحِبُّ) حُبّ، مَحَبّة,to like,verb Common Chapter_7
أحياناً,sometimes,adv Common Chapter_7
أرادَ (يُريدَ) إرادة,to want,verb Common Chapter_7
أعطى (يُعطي) أَعْطِ,to give,verb Common Chapter_7
إعْطاء,giving,noun Chapter_7
أيُّ/أيّةُ,which,noun Chapter_7
باعَ (يَبيعُ) بَيْع,to sell,verb Chapter_7 Chapter_18
تَفَضَّلْ/تَفَضَّلي,if you please,verb Common Chapter_7
عادَةً,usually,adv Common Chapter_7
فَعَلَ (يَفعَلُ) فِعْل,to do,verb Common Chapter_7
قَرَأَ (يَقرَأُ) قِراءة,to read,verb Common Chapter_7
قُرْب,"nearby, close",adv Common Chapter_7 Chapter_16
كَتَبَ (يَكْتُبُ) كِتابة,to write,verb Common Chapter_7
مَجَلَّة,magazine,noun Entertainment Chapter_7
مَجَلاّت,magazines,noun Entertainment Chapter_7
مِنْ فَضْلِك,please,phrase Common Chapter_7
أحْضَرَ (يُحْضِرُ) إحْضار,to bring,verb Chapter_8
أرُزّ,rice,noun Food Chapter_8 Chapter_14
أكَلَ (يأكُلُ) أكْل,to eat,verb Common Chapter_8
بُرتُقال,orange,noun Food Chapter_8
بَيْض,egg,noun Food Chapter_8
تَعالَ/تَعالي,Come here!,verb Common Chapter_8
تُفّاح,apple,noun Food Chapter_8
تَناوَلَ (يَتَناوَلُ) تَناوُل,to eat; to take; to reach for something,verb Chapter_8 Chapter_19
جُبْن,cheese,noun Food Chapter_8
أجْبان,cheeses,noun Food Chapter_8
جَلَسَ (يَجلِسُ) جُلوس (اِجلِسْ),to sit,verb Chapter_8
حاضِر,"ready, all set",adj Chapter_8
حَبّ,"grain, cereal",noun Food Chapter_8
حُبوب,"grains, cereals",noun Food Chapter_8
حَسَناً,"very well, okay (a response denoting agreement)",adv Common Chapter_8
حَضَّرَ (يُحَضِّرُ) تَحْضير,"to prepare, to make",verb Chapter_8 Chapter_13
حَليب,milk,noun Food Chapter_8
خُبْز,bread,noun Food Chapter_8
خَضْراوات,"vegetables, greens",noun Food Chapter_8
خَفيف,light,adj Chapter_8
خِنزير,"pig, swine",noun Animals Chapter_8
خَنازير,"pigs, swine",noun Animals Chapter_8
دَجاج,chicken,noun Food Chapter_8 Chapter_10
دونَ,without,prep Chapter_8
زُبْدة,butter,noun Food Chapter_8
زَعتَر,wild thyme,noun Food Chapter_8
زَيْتون,olive,noun Food Chapter_8
سُكَّر,sugar,noun Food Chapter_8
سَلَطة,salad,noun Food Chapter_8
سَلَطات,salads,noun Food Chapter_8
شاي,tea,noun Food Chapter_8
شَرِبَ (يَشْرَبُ) شُرْب,to drink,verb Common Chapter_8
صَباح,morning,noun Times Chapter_8
طَعْمِيّة,falafel (Egypt),noun Food Chapter_8
ظُهْر,noon,noun Times Chapter_8
عَسَل,honey,noun Food Chapter_8
عَصير,juice,noun Food Chapter_8
فَطور,breakfast,noun Food Chapter_8 Chapter_13
فُلفُل,falafel (Syria),noun Food Chapter_8
فَلافِل,falafel (Syria) (pl),noun Food Chapter_8
فِنْجان,cup,noun Dishes Chapter_8
فَناجين,cups,noun Dishes Chapter_8
فول,fava beans,noun Food Chapter_8
قِطْعة,piece,noun Chapter_8
قِطَع,pieces,noun Chapter_8
قَهْوة,coffee,noun Food Chapter_8
كَأس,glass,noun Dishes Chapter_8
كُؤوس,glass (pl),noun Dishes Chapter_8
كَثيراً,a great deal,adv Chapter_8
لحْم,meat,noun Food Chapter_8
لُحوم,meats,noun Food Chapter_8
ما رأيُك,What’s your opinion?,phrase Chapter_8
ماء,water,noun Food Chapter_8
مِياه,water (pl),noun Food Chapter_8
مَتى,when,particle Common Chapter_8
مُرَبّى,"jam, preserve",noun Food Chapter_8
مُرَبَّيات,"jams, preserves",noun Food Chapter_8
مَسْلوق,boiled,particle Chapter_8
مَساء,evening,noun Times Chapter_8
مَطْبَخ,kitchen,noun Household Chapter_8
مَطابِخ,kitchens,noun Household Chapter_8
مَطْعَم,restaurant,noun Locations Chapter_8
مَطاعِم,restaurants,noun Locations Chapter_8
مَقْصَف,cafeteria,noun Locations Chapter_8
مَقاصِف,cafeterias,noun Locations Chapter_8
مُوافِق,agree,adj Chapter_8
أحَد,one,noun Chapter_9
آحاد,one (pl),noun Chapter_9
اِسْتَيْقَظَ (يَسْتَيْقِظُ) اِسْتَيقاظ,to wake up,verb Chapter_9
إحْصاء,statistics,noun Subjects Chapter_9
انْتَهى (يَنْتَهي) اِنْتِهاء (مِن),"to end, to finish, to come to an end",verb Chapter_9 Chapter_17
إلاّ,"except, minus",particle Chapter_9
ألْف,thousand,noun Numbers Chapter_9
آلاف,thousands,noun Numbers Chapter_9
بَدَأ (يَبْدَأُ) بِداية، بَدْء,to begin,verb Chapter_9 Chapter_17
بَعْدَ,after,prep Chapter_9
ثُلْث,a third,noun Numbers Chapter_9
أثْلاث,thirds,noun Numbers Chapter_9
حَديث (اِسْم),conversation,noun Chapter_9
أحاديث,conversations,noun Chapter_9
حِمَّص,hummus,noun Food Chapter_9
دَقيقَة,minute,noun Times Chapter_9
دَقائِق,minutes,noun Times Chapter_9
دَوْلِيّ,international,noun Chapter_9
رُبْع,quarter,noun Numbers Chapter_9
أرْباع,quarters,noun Numbers Chapter_9
ساعَة,"o’clock, hour, watch, clock",noun Times Chapter_9
ساعات,"o’clock (pl), hours, watches, clocks",noun Times Chapter_9
عَلاقة,relation,noun Chapter_9
عَلاقات,relations,noun Chapter_9
عَنى (يَعْني),to mean,verb Chapter_9
فُرْصَة سَعيدة,"pleased to meet you (lit. ""a happy opportunity"")",phrase Common Chapter_9
كَباب,kebab,noun Food Chapter_9
مُتَّحِد,united,adj Chapter_9
مُحاسَبة,accounting,noun Subjects Chapter_9
مَوْعِد,"time, appointment",noun Times Chapter_9
مَواعيد,"times, appointments",noun Times Chapter_9
نامَ (يَنامُ) نَوْم,"to fall asleep, to sleep",verb Chapter_9 Chapter_11
نِصْف,half,noun Numbers Chapter_9
أنْصاف,halves,noun Numbers Chapter_9
هُنا,here,adv Common Chapter_9
وَحْدَهُ,"alone, by himself",adv Chapter_9
الوِلاياتُ المُتَّحِدةُ الأمريكيّة,The United States of America,noun Places Chapter_9
أُسْرة,"immediate (parents, siblings) and extended family; extended family",noun Family Chapter_10 Chapter_14
أُسَر,"immediate (parents, siblings) and extended families; extended families",noun Family Chapter_10 Chapter_14
ألمانيا,Germany,noun Places Chapter_10
ألمانيّ,German,adj Places Chapter_10
الباكِسْتان,Pakistan,noun Places Chapter_10
ثانَوِيّ,secondary,adj Chapter_10
جَديد,new,adj Common Chapter_10
جُدُد,new (pl),adj Common Chapter_10
جَميل,"beautiful, good-looking",adj Common Chapter_10
جَميلون,"beautiful, good-looking (pl)",adj Common Chapter_10
حَديث (صِفَة),modern,adj Chapter_10
دار,house,noun Household Chapter_10
دور,houses,noun Household Chapter_10
دِراسة,study,noun Education Chapter_10
دِراسات,studies,noun Education Chapter_10
ذَهَبَ (يَذْهَبُ) ذَهاب,to go,verb Common Chapter_10
سائِق,"driver, chauffeur",noun Occupations Chapter_10
سائقون,"drivers, chauffeurs",noun Occupations Chapter_10
سوق,market,noun Locations Chapter_10
أسْواق,markets,noun Locations Chapter_10
صَديق,friend,noun People Chapter_10
أصْدِقاء,friends,noun People Chapter_10
صِغار,"small (pl); young (pl); small children, young children",adj Common Chapter_10
طَويل,tall,noun Descriptive Chapter_10
طِوال,tall (pl),noun Descriptive Chapter_10
عِقال,cord used to hold a headdress in place,noun Clothing Chapter_10
عُقُل,cord used to hold a headdress in place (pl),noun Clothing Chapter_10
عَمِلِ (يَعْمَلُ) عَمَل,to work,verb Common Chapter_10
غُتْرة,a man’s headdress,noun Clothing Chapter_10
غُتَر/غُترات,men’s headdresses,noun Clothing Chapter_10
فَتاة,"girl, young woman",noun People Chapter_10
فَتَيات,"girls, young women",noun People Chapter_10
قَديم,"old, ancient",adj Common Chapter_10
قُدَماء,"old, ancient (pl)",adj Common Chapter_10
قَصير,short,noun Descriptive Chapter_10
قِصار,short (pl),noun Descriptive Chapter_10
قَويّ,"powerful, strong",adj Chapter_10
أقوِياء,"powerful, strong (pl)",adj Chapter_10
كِبار,"big, large; old (in age) (pl)",adj Common Chapter_10
كوفِيّة,headdress,noun Clothing Chapter_10
كوفيّات,headdresses,noun Clothing Chapter_10
لَبِسَ (يَلبَسُ) لُبْس,to wear,verb Chapter_10
ما,particle used negate past-tense verbs,particle Chapter_10
مُحَرِّك,"engine, motor",noun Transportation Chapter_10
مَحَرِّكات,"engines, motors",noun Transportation Chapter_10
وَسيم,handsome,adj Chapter_10
وَسيمون,handsome (pl),adj Chapter_10
الهِنْد,India,noun Places Chapter_10
اليابان,Japan,noun Places Chapter_10
آب,August,noun Months Chapter_11
أتى (يَأتي) إتيان (إلى),to come,verb Chapter_11
الإثْنَين,Monday,noun Days Chapter_11
الأَحَد,Sunday,noun Days Chapter_11
آذار,March,noun Months Chapter_11
الأرْبِعاء,Wednesday,noun Days Chapter_11
أُسْبوع,week,noun Times Chapter_11
أَسابيع,weeks,noun Times Chapter_11
اِشتَرى (يَشتري) شِراء,to buy,verb Chapter_11
أكيد,"certainly, surely",adv Chapter_11
أَمْسِ,yesterday,adv Chapter_11
أَنَّ,that (after verbs similar to “think”),particle Chapter_11
إنَّ,that (after the verb for “say”),particle Chapter_11
إنْ شاءَ الله,"God willing, hopefully",phrase Common Chapter_11
أيّار,May,noun Months Chapter_11
أَيْلول,September,noun Months Chapter_11
بَعْضُ,some,noun Chapter_11 Chapter_12
تِشرين الأوَّل,October,noun Months Chapter_11
تِشرين الثاني,November,noun Months Chapter_11
تَعَرَّفَ (يَتَعَرَّفُ) تَعَرُّف (على),to be acquainted with,verb Chapter_11 Chapter_23
تَقويم,calendar,noun Chapter_11
تَقاويم,calendars,noun Chapter_11
تَمّوز,July,noun Months Chapter_11
الثُلاثاء,Tuesday,noun Days Chapter_11
جاء (يَجيءُ) مَجيء,to come,verb Common Chapter_11
جُاوس,sitting (verbal noun),noun Chapter_11
جُمادى الآخِرة,Islamic month (jumAdi al-Aghira),noun Months Chapter_11
جُمادى الأولى,Islamic month (jumAdi al-‘Ula),noun Months Chapter_11
الجُمعة,Friday,noun Days Chapter_11
حَتّى,"till, until",particle Chapter_11
حَزيران,June,noun Months Chapter_11
حينَ,when,adv Chapter_11
الخَميس,Thursday,noun Days Chapter_11
دَرْس,lesson,noun Education Chapter_11
دُروس,lessons,noun Education Chapter_11
ذو الحِجّة,Islamic month (thu al-Hijja),noun Months Chapter_11
ذو القِعدة,Islamic month (thu al-qi’da),noun Months Chapter_11
رائع,"wonderful, awesome",adj Chapter_11
رَبيع الآخِر,Islamic month (rabi al-Aghira),noun Months Chapter_11
رَبيع الأوَّل,Islamic month (rabi al-‘Awwal),noun Months Chapter_11
رَجَب,Islamic month (rajab),noun Months Chapter_11
رَمَضان,Islamic month (ramaDAn),noun Months Chapter_11 Chapter_15
زارَ (يَزورُ) زِيارة,to visit,verb Chapter_11 Chapter_14
سَـ,"shall, will (future particle)",particle Chapter_11
السَبْت,Saturday,noun Days Chapter_11
سَنة,year,noun Times Chapter_11
سَنَوات/سُنون,years,noun Times Chapter_11
سَوْفَ,"shall, will (future particle)",particle Chapter_11
شُباط,February,noun Months Chapter_11
شَرْشَف,bed sheet,noun Household Chapter_11
شَراشِف,bed sheets,noun Household Chapter_11
شَعبان,Islamic month (sha’bAn),noun Months Chapter_11
شَهْر,month,noun Times Chapter_11
أشْهُر/شُهور,months,noun Times Chapter_11
شَوّال,Islamic month (shawwAl),noun Months Chapter_11
صَفَر,Islamic month (Safar),noun Months Chapter_11
ضَيْف,guest,noun People Chapter_11
ضُيوف,guests,noun People Chapter_11
طائِرة,airplane,noun Transportation Chapter_11
طائِرات,airplanes,noun Transportation Chapter_11
ظَنَّ (يَظُنُّ),"to think, to believe",verb Chapter_11
غَداً,tomorrow,adv Common Chapter_11
فُنْدُق,hotel,noun Locations Chapter_11
فَنادِق,hotels,noun Locations Chapter_11
قابَلَ (يُقابِلُ) مُقابَلة,to meet,verb Chapter_11
قالَ (يَقولُ) قَوْل,to say,verb Chapter_11
قَبْلَ,before,adv Common Chapter_11
قَريب,"close, near; a relative",adv Common Chapter_11 Chapter_23
قَميص,shirt,noun Clothing Chapter_11
قُمْصان,shirts,noun Clothing Chapter_11
كانَ (يَكونُ) كَوْن,"to be (was, were)",verb Common Chapter_11
كانون الأوَّل,December,noun Months Chapter_11
كانون الثاني,January,noun Months Chapter_11
مانِع,objection,noun Chapter_11
مُتَحَمِّس,enthusiastic,adj Chapter_11
مُحَرَّم,Islamic month (muHarram),noun Months Chapter_11
مَشى (يَمْشي) مَشي,to walk,verb Common Chapter_11
مَطار,airport,noun Transportation Chapter_11
مَطارات,airports,noun Transportation Chapter_11
نَزَلَ (يَنْزِلُ) نُزول,to stay (in a place),verb Chapter_11
نَوْم,sleeping,noun Chapter_11
نيسان,April,noun Months Chapter_11
وِسادة,pillow,noun Household Chapter_11
وَسائِد,pillows,noun Household Chapter_11
وَصَلَ (يَصِلُ) وُصول,"to arrive, to reach a destination",verb Chapter_11
يَوْم,day,noun Times Chapter_11
أيّام,days,noun Times Chapter_11
اليَوْم,today,adv Common Chapter_11
يَوْمِيّة,"diary, daily journal",noun Chapter_11
يومِيّات,"diaries, daily journals",noun Chapter_11
أخْضَر,green,adj Colors Chapter_12
خُضْر,green (pl),adj Colors Chapter_12
بارِد,cold,adj Chapter_12
بَحْر,sea,noun Geography Chapter_12
بِحار,seas,noun Geography Chapter_12
بُحَيْرة,lake,noun Geography Chapter_12
بُحَيْرات,lakes,noun Geography Chapter_12
ثَلْج,snow,noun Chapter_12
ثُلوج,snow (pl),noun Chapter_12
حارّ,hot,adj Common Chapter_12
حَرارة,heat,noun Chapter_12
خَريف,autumn,noun Times Chapter_12
خَضْراء,green,adj Colors Chapter_12
خُضْر,green (pl),adj Colors Chapter_12
دافِئ,warm,adj Common Chapter_12
دَرَجة,"class, step, level, degree (temperature)",noun Chapter_12 Chapter_23
دَرَجات,"classes, steps, levels, degrees (temperature)",noun Chapter_12 Chapter_23
رَبيع,spring,noun Times Chapter_12
ريح,wind,noun Chapter_12
رِياح,winds,noun Chapter_12
زَهْرة,flower,noun Plants Chapter_12
زَهَرات/أزْهار,flowers,noun Plants Chapter_12
ساطِع,"brilliant, shining",adj Chapter_12
سَبَحَ (يَسْبَحُ) سِباحة,to swim,verb Chapter_12
سَقَط (يَسْقُطُ) سُقوط,to fall,verb Chapter_12
سَماء,sky,noun Nature Chapter_12
سَماوات,skies,noun Nature Chapter_12
شاطِئ,beach,noun Nature Chapter_12
شَواطِئ,beaches,noun Nature Chapter_12
شِتاء,winter,noun Times Chapter_12
شَجَرة,tree,noun Plants Chapter_12
شَجَرات,trees,noun Plants Chapter_12
شَمْس,sun,noun Nature Chapter_12
شُموس,suns,noun Nature Chapter_12
صافٍ، صافِية,"pure; clear, not cloudy",adj Chapter_12
صَحْوٌ,"clear, fine (of weather)",adj Chapter_12
طَريق,"way, road",noun Directions Chapter_12 Chapter_19
طُرُق، طُرُقات,"ways, roads",noun Directions Chapter_12 Chapter_19
طَقْس,weather,noun Chapter_12
طُقوس,weather (pl),noun Chapter_12
عامِل,"worker, laborer",noun Occupations Chapter_12 Chapter_14
عُمّال,"workers, laborers",noun Occupations Chapter_12 Chapter_14
عيدُ العُمّال,Labor Day,noun Holidays Chapter_12 Chapter_14
غائِم,"cloudy, overcast",adj Chapter_12
غَيْمة,rain cloud,noun Nature Chapter_12
غُيوم,rain clouds,noun Nature Chapter_12
كُلّ,"every, all, the whole",noun Common Chapter_12
لَوْن,color,noun Colors Chapter_12
ألْوان,colors,noun Colors Chapter_12
لَيْل,night,noun Times Chapter_12
ماطِر,rainy,adj Chapter_12
مَطَر,rain,noun Nature Chapter_12
أمْطار,rains,noun Nature Chapter_12
